,Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
774,28.715899999999998,95.94369999999999,184.7331,151.47236051504578,0.011402554647230279,1620.8766421317564,0.8429030459909252,5236.656779451037,0.22204545060880182,329.88987102074884,19325.750475672405,8.07435723806591,11.442487804101848,0.0002469761508034842,4.948087983930706,-0.3988539477447312,0.9976248801704217,2
2183,23.9039,129.85320000000004,167.60520000000005,138.1061428756882,0.016896698795833234,1967.5710850750459,0.8708137208797637,7622.635130690242,0.23179293733102643,254.79181669060458,28522.96943768591,7.860180552467811,11.560177205034488,0.00022144595923429138,5.544089248779465,-0.33017895348869786,0.9908095977309901,4
1331,27.913599999999995,90.65450000000001,172.24649999999997,154.42958395333454,0.019711508310406585,1424.1494230614892,0.8822929491107429,6116.386891214309,0.29748735371953655,315.7903228406835,23041.398141795762,7.931414844592291,11.058740961235445,0.00033625657608577023,4.606911936313833,-0.4243796803787235,0.9982716911406561,3
2824,100.88609999999997,43.69980000000001,137.93030000000005,153.38781014148418,0.02870283559738564,575.7021414631946,0.9607560598115928,7329.630497212041,0.3702344898048382,249.51688551364458,28742.819847384973,6.371946048550462,9.03428019077138,0.000443475195028394,4.417622550061574,-0.32267701999576553,0.979780495652041,5
521,17.057900000000004,151.2126,142.77280000000002,130.01444535127627,0.009868951591244861,2357.763797902622,0.8752111273327513,9402.730111897736,0.248577055917816,195.6753368641086,35253.15664968832,7.677805041742149,11.147427286873409,0.0002462785002732952,5.259584041650481,-0.3214685921757148,0.9897705662417058,1
1087,27.865300000000005,108.32200000000003,172.295,139.140979585455,0.010530292918860954,1742.854103049271,0.8328863730605396,5300.812711214978,0.2033654352483248,303.3805894622213,19460.396741810644,8.163022117595716,11.962019315750025,0.00019193329448956038,5.283614050717266,-0.34903204033519225,0.9955605549502184,2
1756,28.826200000000014,100.45850000000002,158.38069999999996,143.10627833886255,0.015734179648815464,1390.8183973963937,0.8875805937754977,6255.559128328426,0.2720230042852334,287.47008065084935,23631.4181159173,7.997058582008037,11.418352304215603,0.0002838980419491677,4.882704089045794,-0.3858368728573651,0.9970738071446076,3
894,28.239500000000007,104.79519999999998,169.08180000000004,147.54300695051597,0.019309190452328144,1652.8763103571332,0.8693122081924535,6401.198880384105,0.2730079680895497,303.26820464316825,23951.91921117929,7.920674286998854,11.177406986692723,0.00029715348697077304,4.854535599354239,-0.40330662078154245,0.9975121626599145,2
1190,28.96899999999999,112.28480000000002,161.0059999999999,134.34738665117382,0.0073029193498058646,1689.7016453659894,0.8566963946819891,5960.2034401590445,0.22619046414500593,284.4992450462931,22151.11211527019,8.284822085356074,11.755262298867647,0.00025752581105634284,4.963599721160396,-0.39701491415090995,0.997788823016183,2
484,15.976099999999999,152.90590000000003,143.62179999999998,128.83346343244833,0.00904418333394905,2522.320564234158,0.8667197931658079,9419.651578527886,0.2593462070489671,194.01553958858202,35156.28574987739,7.696521422579776,11.06548287891184,0.00026788284969900717,5.176171686469596,-0.3321037387719317,0.9908359980693885,1
1933,29.236399999999986,97.12730000000002,158.1962,144.05019611232746,0.01602065505268771,1285.504230710891,0.8931696677888804,6079.5454898982625,0.2678180311109638,287.8680262401272,23032.677728882154,7.963703628080598,11.351402140020305,0.00028184942052592976,4.846606174435215,-0.38693037835463595,0.9970396028800129,3
1041,26.45689999999999,111.72090000000004,164.70169999999996,141.09604565685035,0.011799966911685517,1475.268885764666,0.8843722601157461,6449.538365620323,0.21129129476097194,290.0101607842214,24322.884576716642,8.209176521479504,11.86220824202136,0.00020945783544166466,5.257478679369441,-0.3691790115173394,0.9966252355565518,2
2005,22.6273,127.16999999999999,183.44090000000003,147.3159892883322,0.02634595922050225,2627.1089051186577,0.845195873222306,8449.709184250141,0.2637810954360108,267.63512832821874,31171.727831881923,7.663791749739447,11.23092278960699,0.00024192072992570691,5.492858950680676,-0.33433453350699094,0.9917543389725757,4
2392,20.290599999999998,113.63700000000006,181.7370999999999,153.98684391856338,0.036892451294427524,1685.9544660029462,0.8926882514920835,7877.172117922999,0.28350759935473785,292.9236967099119,29822.734005689064,7.549529916667391,10.857186440271638,0.00028356110926232097,5.250846942699092,-0.36925911518330945,0.9948067658605084,4
1676,28.86650000000001,83.68880000000001,177.50830000000002,165.92551792897922,0.03937425657333805,1298.6302015020715,0.8986187118954945,6486.637328773619,0.346956225537665,329.21887539196683,24647.919113592405,7.447106635295485,10.34983164812048,0.0004040589933758355,4.459483734699147,-0.42299318395096464,0.9975083999522714,3
1339,28.512499999999985,96.39470000000001,165.89630000000005,147.82229466491177,0.015126513125757092,1433.5671058859782,0.8804898275062063,6062.369549445833,0.2884330453134675,302.28930950674834,22815.91109189736,8.060613438858352,11.249602410770857,0.00033031002579202585,4.636179944172797,-0.42390813931809745,0.9983712217401217,3
611,17.473500000000012,154.71060000000003,149.96970000000002,125.1233715178743,0.00704701701108575,2661.025993682095,0.844800197887168,8545.728601632172,0.19797207873370554,199.3342362999328,31521.888412846616,7.7956638120573505,11.613658938873373,0.0001776840995827508,5.631635058695101,-0.2957152881084797,0.9868001529200422,1
